league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
F1,2023-08-11,20:00,Nice,Lille,1,1,D,2.5,3.48,2.99,2.62,3.56,2.99,2.49,3.4,2.86,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-12,16:00,Marseille,Reims,2,1,H,2.01,3.72,3.91,2.01,3.94,4.7,1.9,3.69,4.03,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-12,20:00,Paris SG,Lorient,0,0,D,1.44,4.81,7.83,1.44,5.1,8.5,1.4,4.77,7.89,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-13,16:05,Rennes,Metz,5,1,H,1.69,4.21,5.13,1.7,4.33,5.6,1.63,4.09,5.09,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-13,14:00,Nantes,Toulouse,1,2,A,3.09,3.48,2.43,3.14,3.52,2.44,2.96,3.41,2.37,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-13,19:45,Strasbourg,Lyon,2,1,H,2.55,3.6,2.83,2.68,3.75,2.83,2.49,3.57,2.73,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-13,14:00,Clermont,Monaco,2,4,A,3.06,3.53,2.43,3.28,3.62,2.47,2.96,3.48,2.36,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-13,12:00,Brest,Lens,3,2,H,3.72,3.33,2.2,3.92,3.4,2.24,3.59,3.26,2.15,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-13,14:00,Montpellier,Le Havre,2,2,D,1.73,3.82,5.41,1.82,4.0,5.5,1.72,3.67,5.11,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-18,20:00,Metz,Marseille,2,2,D,4.86,4.0,1.76,5.14,4.2,1.77,4.65,3.93,1.73,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-19,18:00,Lyon,Montpellier,1,4,A,1.93,4.08,3.84,1.94,4.25,4.0,1.88,4.02,3.76,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-19,20:00,Toulouse,Paris SG,1,1,D,4.82,4.07,1.74,5.0,4.3,1.78,4.63,4.04,1.73,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-20,19:45,Lens,Rennes,1,1,D,2.45,3.53,3.02,2.45,3.6,3.11,2.37,3.46,2.97,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-20,16:05,Monaco,Strasbourg,3,0,H,1.8,4.24,4.32,1.85,4.33,4.4,1.78,4.08,4.17,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-20,14:00,Reims,Clermont,2,0,H,1.88,3.74,4.46,1.95,3.86,4.46,1.88,3.67,4.16,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-20,14:00,Le Havre,Brest,1,2,A,2.95,3.04,2.83,3.02,3.14,2.83,2.88,3.02,2.73,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-20,12:00,Lille,Nantes,2,0,H,1.47,4.9,7.07,1.48,5.25,8.5,1.43,4.81,7.25,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-20,14:00,Lorient,Nice,1,1,D,3.4,3.35,2.33,3.59,3.5,2.35,3.3,3.29,2.28,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-25,20:00,Nantes,Monaco,3,3,D,4.38,3.78,1.88,5.0,4.1,1.91,4.27,3.85,1.81,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-26,18:00,Marseille,Brest,2,0,H,1.52,4.57,6.61,1.54,4.6,7.0,1.5,4.39,6.49,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-26,20:00,Paris SG,Lens,3,1,H,1.67,4.32,5.3,1.68,4.66,5.75,1.61,4.24,5.18,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-27,19:45,Nice,Lyon,0,0,D,2.05,3.71,3.76,2.1,3.87,3.9,1.99,3.68,3.62,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-27,16:05,Lorient,Lille,4,1,H,4.09,3.7,1.97,4.1,3.72,2.0,3.95,3.6,1.94,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-27,14:00,Clermont,Metz,0,1,A,1.94,3.71,4.17,2.06,3.71,4.2,1.94,3.61,3.94,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-27,14:00,Strasbourg,Toulouse,2,0,H,2.17,3.5,3.62,2.22,3.5,3.62,2.13,3.41,3.44,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-27,12:00,Rennes,Le Havre,2,2,D,1.55,4.37,6.68,1.57,4.75,7.5,1.51,4.35,6.42,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-08-27,14:00,Montpellier,Reims,1,3,A,2.29,3.62,3.23,2.35,3.65,3.48,2.26,3.54,3.12,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-01,20:00,Nantes,Marseille,1,1,D,5.81,4.26,1.61,5.81,4.45,1.65,5.5,4.21,1.59,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-02,16:00,Brest,Rennes,0,0,D,3.65,3.56,2.14,3.86,3.65,2.14,3.54,3.53,2.08,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-02,20:00,Monaco,Lens,3,0,H,2.03,3.94,3.61,2.08,4.0,3.79,1.99,3.82,3.53,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-03,14:00,Le Havre,Lorient,3,0,H,2.68,3.09,3.08,2.7,3.4,3.25,2.58,3.14,2.95,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-03,16:05,Nice,Strasbourg,2,0,H,1.85,3.49,5.03,1.97,3.55,5.03,1.86,3.46,4.52,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-03,14:00,Metz,Reims,2,2,D,4.82,3.92,1.78,4.82,4.0,1.9,4.5,3.82,1.78,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-03,19:45,Lyon,Paris SG,1,4,A,4.96,4.38,1.67,5.9,4.7,1.69,5.02,4.33,1.62,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-03,12:00,Toulouse,Clermont,2,2,D,2.29,3.54,3.31,2.29,3.57,3.51,2.21,3.44,3.25,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-03,14:00,Lille,Montpellier,1,0,H,1.92,3.92,4.07,2.08,3.92,4.07,1.93,3.79,3.81,1,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-15,20:00,Paris SG,Nice,2,3,A,1.65,4.46,5.1,1.66,4.7,6.0,1.58,4.41,5.37,2,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-16,16:00,Rennes,Lille,2,2,D,2.11,3.48,3.75,2.18,3.7,3.75,2.13,3.52,3.42,X,True,False,FRANCE_2324.csv,FRA,Francja
F1,2023-09-16,20:00,Lens,Metz,0,1,A,1.53,4.51,6.51,1.55,4.8,7.0,1.51,4.44,6.29,2,True,False,FRANCE_2324.csv,FRA,Francja
