country,league,season,date,time,home_team,away_team,home_goals,away_goals,result,status,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,league_code,league_name_pl,result_1x2,is_played,is_future,source_file
,D1,,2024-08-23,19:30,M'gladbach,Leverkusen,2.0,3.0,A,,4.94,4.38,1.67,5.6,4.62,1.67,5.09,4.46,1.6,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-08-24,14:30,Augsburg,Werder Bremen,2.0,2.0,D,,2.57,3.61,2.77,2.57,3.69,3.16,2.46,3.54,2.82,GER,Niemcy,X,True,False,GER_2425.csv
,D1,,2024-08-24,14:30,Freiburg,Stuttgart,3.0,1.0,H,,3.73,3.99,1.96,3.95,3.99,2.11,3.62,3.81,1.98,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-08-24,14:30,Hoffenheim,Holstein Kiel,3.0,2.0,H,,1.61,4.68,5.05,1.7,4.82,5.1,1.62,4.54,4.87,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-08-24,14:30,Mainz,Union Berlin,1.0,1.0,D,,2.1,3.39,3.9,2.15,3.5,3.99,2.08,3.34,3.8,GER,Niemcy,X,True,False,GER_2425.csv
,D1,,2024-08-24,14:30,RB Leipzig,Bochum,1.0,0.0,H,,1.22,7.23,12.72,1.25,7.58,13.0,1.22,7.05,11.94,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-08-24,17:30,Dortmund,Ein Frankfurt,2.0,0.0,H,,1.75,4.19,4.58,1.81,4.35,4.82,1.76,4.1,4.36,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-08-25,14:30,Wolfsburg,Bayern Munich,2.0,3.0,A,,6.5,4.57,1.52,7.0,4.92,1.54,6.36,4.67,1.49,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-08-25,16:30,St Pauli,Heidenheim,0.0,2.0,A,,2.02,3.49,4.06,2.05,3.62,4.06,2.0,3.51,3.8,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-08-30,19:30,Union Berlin,St Pauli,1.0,0.0,H,,1.95,3.43,4.43,2.04,3.51,4.43,1.97,3.43,4.13,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-08-31,14:30,Holstein Kiel,Wolfsburg,0.0,2.0,A,,3.06,3.68,2.33,3.07,3.77,2.38,2.97,3.64,2.32,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-08-31,14:30,Ein Frankfurt,Hoffenheim,3.0,1.0,H,,1.65,4.6,4.84,1.71,4.6,5.02,1.67,4.4,4.62,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-08-31,14:30,Bochum,M'gladbach,0.0,2.0,A,,2.88,3.85,2.38,2.96,3.9,2.38,2.86,3.75,2.34,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-08-31,17:30,Leverkusen,RB Leipzig,2.0,3.0,A,,1.63,4.45,5.15,1.75,4.59,5.15,1.67,4.34,4.66,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-08-31,14:30,Werder Bremen,Dortmund,0.0,0.0,D,,3.88,3.94,1.93,4.15,4.1,1.95,3.79,3.89,1.91,GER,Niemcy,X,True,False,GER_2425.csv
,D1,,2024-08-31,14:30,Stuttgart,Mainz,3.0,3.0,D,,1.67,4.21,4.97,1.69,4.36,5.21,1.66,4.25,4.88,GER,Niemcy,X,True,False,GER_2425.csv
,D1,,2024-09-01,14:30,Heidenheim,Augsburg,4.0,0.0,H,,2.42,3.49,3.05,2.5,3.65,3.05,2.42,3.47,2.92,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-09-01,16:30,Bayern Munich,Freiburg,2.0,0.0,H,,1.19,8.1,13.69,1.22,8.8,14.0,1.2,7.84,12.66,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-09-13,19:30,Dortmund,Heidenheim,4.0,2.0,H,,1.34,5.7,8.67,1.42,5.91,9.0,1.35,5.56,8.14,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-09-14,14:30,Hoffenheim,Leverkusen,1.0,4.0,A,,6.84,5.37,1.43,7.37,5.5,1.46,6.66,5.22,1.42,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-09-14,14:30,M'gladbach,Stuttgart,1.0,3.0,A,,2.7,3.86,2.51,2.78,4.0,2.53,2.68,3.84,2.44,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-09-14,14:30,Freiburg,Bochum,2.0,1.0,H,,1.58,4.41,5.8,1.61,4.41,5.9,1.58,4.29,5.58,GER,Niemcy,1,True,False,GER_2425.csv
,D1,,2024-09-14,14:30,Wolfsburg,Ein Frankfurt,1.0,2.0,A,,2.82,3.44,2.61,2.9,3.69,2.66,2.75,3.46,2.55,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-09-14,17:30,Holstein Kiel,Bayern Munich,1.0,6.0,A,,13.19,7.77,1.2,15.0,8.2,1.22,12.51,7.61,1.2,GER,Niemcy,2,True,False,GER_2425.csv
,D1,,2024-09-14,14:30,RB Leipzig,Union Berlin,0.0,0.0,D,,1.49,4.8,6.62,1.5,5.0,7.0,1.46,4.77,6.67,GER,Niemcy,X,True,False,GER_2425.csv
