country,league,season,date,time,home_team,away_team,home_goals,away_goals,result,status,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,league_code,league_name_pl,result_1x2,is_played,is_future,source_file
Poland,Ekstraklasa,2023/2024,2023-07-21,17:00,Warta Poznań,Pogoń Szczecin,0.0,1.0,A,,3.37,3.33,2.29,3.78,3.42,2.3,3.29,3.24,2.18,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-21,19:30,Legia Warszawa,ŁKS Łódź,3.0,0.0,H,,1.48,4.65,6.87,1.5,5.1,8.5,1.41,4.6,6.95,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-22,14:00,Stal Mielec,Cracovia,2.0,2.0,D,,3.67,3.2,2.23,3.67,3.4,2.38,3.28,3.12,2.24,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-22,16:30,Raków Częstochowa,Jagiellonia Białystok,3.0,0.0,H,,1.33,5.39,10.17,1.4,5.5,11.0,1.31,5.03,9.63,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-22,19:00,Piast Gliwice,Lech Poznań,1.0,2.0,A,,3.24,2.96,2.59,3.25,3.11,2.66,3.06,2.92,2.48,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-23,14:00,Górnik Zabrze,Radomiak Radom,0.0,2.0,A,,2.97,3.24,2.58,2.99,3.42,3.4,2.57,3.2,2.75,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-23,16:30,Zagłębie Lubin,Ruch Chorzów,2.0,1.0,H,,2.07,3.54,3.72,2.11,3.79,4.3,1.92,3.52,3.8,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-23,19:00,Widzew Łódź,Puszcza Niepołomice,3.0,2.0,H,,1.82,3.79,4.51,1.93,3.79,4.51,1.84,3.51,4.09,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-24,18:00,Korona Kielce,Śląsk Wrocław,1.0,1.0,D,,2.23,3.47,3.37,2.49,3.52,3.38,2.26,3.32,3.07,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-28,19:30,Ruch Chorzów,ŁKS Łódź,2.0,0.0,H,,2.3,3.21,3.49,2.44,3.4,3.5,2.24,3.14,3.27,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-29,14:00,Warta Poznań,Górnik Zabrze,2.0,0.0,H,,2.24,3.13,3.75,2.3,3.27,3.75,2.18,3.07,3.45,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-29,16:30,Jagiellonia Białystok,Puszcza Niepołomice,4.0,1.0,H,,2.11,3.61,3.52,2.11,3.75,3.73,2.03,3.48,3.42,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-29,19:00,Śląsk Wrocław,Zagłębie Lubin,1.0,2.0,A,,2.74,3.18,2.83,2.75,3.25,2.94,2.6,3.14,2.71,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-30,19:00,Pogoń Szczecin,Widzew Łódź,2.0,1.0,H,,1.71,4.19,4.66,1.74,4.33,5.8,1.66,3.97,4.66,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-30,14:00,Stal Mielec,Piast Gliwice,0.0,0.0,D,,5.17,3.38,1.83,5.17,3.45,2.0,4.57,3.24,1.83,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-07-30,16:30,Lech Poznań,Radomiak Radom,2.0,0.0,H,,1.76,3.67,5.09,1.81,3.79,5.16,1.75,3.54,4.63,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-04,19:30,ŁKS Łódź,Korona Kielce,2.0,1.0,H,,2.29,3.47,3.25,2.31,3.5,3.32,2.23,3.3,3.1,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-04,17:00,Jagiellonia Białystok,Widzew Łódź,2.0,1.0,H,,2.16,3.52,3.49,2.25,3.65,3.5,2.12,3.44,3.21,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-05,14:00,Raków Częstochowa,Warta Poznań,2.0,2.0,D,,1.52,4.08,7.33,1.6,4.1,8.0,1.54,3.74,6.47,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-05,16:30,Górnik Zabrze,Piast Gliwice,0.0,0.0,D,,4.43,3.43,1.93,4.43,3.43,2.13,3.96,3.24,1.96,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-05,19:00,Radomiak Radom,Cracovia,0.0,1.0,A,,2.09,3.31,3.94,2.13,3.38,4.0,2.05,3.2,3.66,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-06,16:30,Zagłębie Lubin,Lech Poznań,1.0,1.0,D,,3.98,3.85,1.91,4.1,3.9,1.96,3.69,3.68,1.88,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-06,19:00,Legia Warszawa,Ruch Chorzów,3.0,0.0,H,,1.5,4.61,6.45,1.54,4.7,6.8,1.48,4.27,6.03,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-07,18:00,Puszcza Niepołomice,Stal Mielec,1.0,0.0,H,,2.44,3.26,3.15,2.44,3.38,3.28,2.33,3.17,3.03,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-11,17:00,Cracovia,Zagłębie Lubin,2.0,1.0,H,,2.19,3.52,3.42,2.31,3.54,3.42,2.21,3.37,3.09,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-11,19:30,Piast Gliwice,Raków Częstochowa,2.0,1.0,H,,3.13,2.98,2.65,3.16,3.08,2.69,2.97,2.9,2.55,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-12,19:00,Widzew Łódź,ŁKS Łódź,1.0,0.0,H,,2.18,3.44,3.53,2.2,3.51,3.58,2.1,3.3,3.39,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-12,16:30,Korona Kielce,Górnik Zabrze,0.0,1.0,A,,2.19,3.47,3.4,2.25,3.53,3.41,2.17,3.3,3.23,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-12,14:00,Stal Mielec,Śląsk Wrocław,3.0,1.0,H,,3.17,3.18,2.49,3.28,3.34,2.49,3.0,3.14,2.37,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-13,14:00,Pogoń Szczecin,Radomiak Radom,0.0,2.0,A,,2.01,3.69,3.76,2.05,3.74,4.45,1.96,3.49,3.61,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-13,16:30,Puszcza Niepołomice,Legia Warszawa,1.0,1.0,D,,6.37,4.34,1.54,6.6,4.4,1.57,5.86,4.05,1.53,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-14,18:00,Warta Poznań,Ruch Chorzów,2.0,2.0,D,,1.81,3.57,4.91,1.95,3.7,4.91,1.81,3.4,4.45,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-18,19:30,Górnik Zabrze,Widzew Łódź,1.0,1.0,D,,2.12,3.48,3.62,2.2,3.52,3.62,2.1,3.34,3.37,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-18,17:00,Zagłębie Lubin,Puszcza Niepołomice,1.0,0.0,H,,1.72,3.92,5.01,1.76,3.96,5.04,1.69,3.69,4.79,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-19,16:30,Raków Częstochowa,Stal Mielec,2.0,0.0,H,,1.36,5.32,8.51,1.42,5.32,8.8,1.36,4.75,7.8,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-19,19:00,Ruch Chorzów,Jagiellonia Białystok,0.0,1.0,A,,2.55,3.31,2.94,2.65,3.5,2.96,2.47,3.26,2.77,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-19,14:00,Radomiak Radom,Warta Poznań,3.0,2.0,H,,2.0,3.36,4.23,2.05,3.45,4.3,1.95,3.25,3.95,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-20,14:00,ŁKS Łódź,Pogoń Szczecin,1.0,0.0,H,,3.17,3.95,2.15,3.35,3.95,2.18,3.15,3.64,2.08,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-20,16:30,Śląsk Wrocław,Lech Poznań,3.0,1.0,H,,4.26,3.67,1.89,4.4,3.74,1.92,4.06,3.55,1.84,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-20,19:00,Legia Warszawa,Korona Kielce,1.0,0.0,H,,1.39,5.1,8.18,1.41,5.3,8.7,1.37,4.83,7.46,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-21,18:00,Cracovia,Piast Gliwice,1.0,1.0,D,,3.42,3.1,2.39,3.5,3.17,2.39,3.27,3.03,2.28,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-25,19:30,Widzew Łódź,Śląsk Wrocław,0.0,2.0,A,,2.26,3.47,3.31,2.26,3.53,3.51,2.15,3.33,3.26,POL,Polska,2,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-25,17:00,Stal Mielec,Radomiak Radom,2.0,0.0,H,,3.92,3.55,2.03,4.2,3.58,2.05,3.77,3.39,1.96,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-26,19:00,Piast Gliwice,Ruch Chorzów,0.0,0.0,D,,1.52,4.16,7.79,1.55,4.16,8.0,1.48,3.91,7.18,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-26,14:00,Warta Poznań,Cracovia,0.0,0.0,D,,2.31,3.15,3.54,2.32,3.3,3.71,2.25,3.08,3.3,POL,Polska,X,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-26,16:30,Puszcza Niepołomice,ŁKS Łódź,2.0,1.0,H,,2.73,3.26,2.78,2.81,3.53,2.8,2.64,3.21,2.63,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-27,14:00,Korona Kielce,Zagłębie Lubin,2.0,0.0,H,,2.63,3.33,2.84,2.68,3.38,2.85,2.55,3.21,2.72,POL,Polska,1,True,False,POL_2324.csv
Poland,Ekstraklasa,2023/2024,2023-08-27,16:30,Jagiellonia Białystok,Górnik Zabrze,4.0,1.0,H,,2.1,3.51,3.66,2.15,3.55,3.75,2.07,3.33,3.47,POL,Polska,1,True,False,POL_2324.csv
