league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
P1,2023-08-11,20:15,Sp Braga,Famalicao,1,2,A,1.53,4.51,6.36,1.53,4.9,7.2,1.49,4.48,6.24,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-12,15:30,Gil Vicente,Portimonense,5,0,H,1.86,3.68,4.52,1.94,3.8,4.52,1.83,3.62,4.27,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-12,18:00,Farense,Casa Pia,0,3,A,2.61,3.09,3.12,2.61,3.24,3.23,2.46,3.07,3.1,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-12,20:30,Sp Lisbon,Vizela,3,2,H,1.22,7.1,13.49,1.22,7.3,18.5,1.2,6.63,14.04,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-13,15:30,Rio Ave,Chaves,2,0,H,1.93,3.5,4.44,1.96,3.56,4.44,1.9,3.44,4.17,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-13,18:00,Estrela,Guimaraes,0,1,A,2.58,3.24,3.02,2.58,3.43,3.12,2.48,3.17,2.96,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-13,20:30,Arouca,Estoril,4,3,H,2.02,3.35,4.25,2.1,3.42,4.25,2.01,3.3,3.91,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-14,18:45,Moreirense,Porto,1,2,A,8.35,5.29,1.37,9.0,5.4,1.46,7.87,5.01,1.37,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-14,20:45,Boavista,Benfica,3,2,H,10.53,5.58,1.32,11.0,6.0,1.36,9.44,5.31,1.31,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-18,20:15,Casa Pia,Sp Lisbon,1,2,A,9.41,5.11,1.37,10.3,5.11,1.43,8.68,4.86,1.36,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-08-19,15:30,Guimaraes,Gil Vicente,2,1,H,2.07,3.44,3.93,2.2,3.51,3.93,2.11,3.31,3.6,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
